date,aTeam,hTeam,per,time,arena,goalscorer,primary,secondary
2006-05-05,BUF,OTT,4,00:18,Scotiabank Place,Chris Drury,Mike Grier,None
2006-05-10,OTT,BUF,1,09:24,HSBC Arena,Chris Drury,,
2006-05-13,BUF,OTT,2,07:56,Scotiabank Place,Chris Drury,,
2006-05-13,CAR,NJD,1,11:02,Continental Airlines Arena,Jay Pandolfo,,None
2006-05-22,BUF,CAR,3,11:39,RBC Center,Chris Drury,,
2006-05-24,CAR,BUF,1,19:30,HSBC Arena,Chris Drury,,
2006-05-28,BUF,CAR,1,07:08,RBC Center,Chris Drury,,None
2007-04-11,SJS,NSH,2,05:31,Nashville Arena,Mike Grier,,
2007-04-12,NYI,BUF,3,01:08,HSBC Arena,Chris Drury,,
2007-04-12,NYI,BUF,2,11:13,HSBC Arena,Chris Drury,,
2007-04-14,PIT,OTT,1,03:01,Scotiabank Place,Ryan Whitney,,
2007-04-18,BUF,NYI,2,00:39,Nassau Veterans Memorial Coliseum,Chris Drury,,
2007-04-18,BUF,NYI,1,13:05,Nassau Veterans Memorial Coliseum,Chris Drury,,
2007-04-18,ATL,NYR,1,06:38,Madison Square Garden,Keith Tkachuk,,
2007-04-26,SJS,DET,1,10:09,Joe Louis Arena,Mike Grier,,
2007-04-27,NYR,BUF,3,00:24,HSBC Arena,Chris Drury,,None
2007-05-02,NJD,OTT,3,09:36,Scotiabank Place,Jay Pandolfo,,
2007-05-04,NYR,BUF,3,19:52,HSBC Arena,Chris Drury,,
2007-05-06,BUF,NYR,2,11:15,Madison Square Garden,Chris Drury,,
2007-05-16,BUF,OTT,2,08:06,Scotiabank Place,Chris Drury,,
2008-04-16,NJD,NYR,2,12:39,Madison Square Garden,Chris Drury,,None
2008-04-18,NYR,NJD,2,05:35,Prudential Center,Chris Drury,,
2008-04-25,NYR,PIT,2,01:52,Mellon Arena,Chris Drury,,
2008-05-13,PIT,PHI,1,05:03,Wachovia Center,Ryan Whitney,,
2009-04-18,CGY,CHI,1,16:15,United Center,Adrian Aucoin,,
2009-04-20,WSH,NYR,3,18:35,Madison Square Garden,Tom Poti,,
2009-04-22,WSH,NYR,2,02:23,Madison Square Garden,Chris Drury,,
2009-04-22,CHI,CGY,2,08:10,Pengrowth Saddledome,Adrian Aucoin,,
2009-04-26,WSH,NYR,1,17:14,Madison Square Garden,Tom Poti,,
2009-04-28,CAR,NJD,1,13:27,Prudential Center,Jay Pandolfo,,
2009-05-10,ANA,DET,2,15:37,Joe Louis Arena,Ryan Whitney,,
2010-04-16,COL,SJS,2,17:30,HP Pavilion at San Jose,Brandon Yip,,None
2010-04-19,BUF,BOS,1,06:57,TD Garden,Mike Grier,,
2010-04-23,BOS,BUF,2,09:22,HSBC Arena,Mike Grier,,None
2010-04-24,SJS,COL,3,04:51,Pepsi Center,Brandon Yip,,
2011-04-13,NYR,WSH,3,01:56,Verizon Center,Matt Gilroy,,
2012-04-27,NSH,PHX,1,14:09,Jobing.com Arena,Brandon Yip,,
2012-05-06,STL,LAK,1,11:34,STAPLES Center,Kevin Shattenkirk,,None
2012-05-07,NSH,PHX,3,14:01,Jobing.com Arena,Colin Wilson,,
2013-04-30,DET,ANA,1,10:24,Honda Center,Nick Bonino,,None
2013-05-04,ANA,DET,2,15:29,Joe Louis Arena,Nick Bonino,,
2013-05-07,PIT,NYI,1,14:05,Nassau Veterans Memorial Coliseum,Brian Strait,,
2013-05-08,DET,ANA,4,01:54,Honda Center,Nick Bonino,,None
2014-04-17,MIN,COL,1,15:20,Pepsi Center,Charlie Coyle,,
2014-04-18,DAL,ANA,1,07:40,Honda Center,Alex Chiasson,,
2014-04-19,CHI,STL,1,19:58,Scottrade Center,Kevin Shattenkirk,,
2014-04-19,MIN,COL,1,04:18,Pepsi Center,Charlie Coyle,,
2014-04-22,SJS,LAK,2,09:17,STAPLES Center,Matt Nieto,,
2014-04-24,SJS,LAK,2,08:25,STAPLES Center,Matt Nieto,,None
2014-04-24,COL,MIN,2,12:55,Xcel Energy Center,Charlie Coyle,,None
2014-04-25,DAL,ANA,1,05:32,Honda Center,Nick Bonino,,
2014-04-27,ANA,DAL,4,02:47,American Airlines Center,Nick Bonino,,
2014-04-27,ANA,DAL,3,17:50,American Airlines Center,Nick Bonino,,
2014-05-12,LAK,ANA,1,02:15,Honda Center,Nick Bonino,,None
2015-04-15,CHI,NSH,1,06:07,Bridgestone Arena,Colin Wilson,Unassisted,None
2015-04-15,CHI,NSH,1,19:33,Bridgestone Arena,Colin Wilson,,
2015-04-17,CHI,NSH,1,02:47,Bridgestone Arena,Colin Wilson,,
2015-04-21,NSH,CHI,1,11:38,United Center,Colin Wilson,,
2015-04-23,CGY,VAN,2,13:31,Rogers Arena,Nick Bonino,,
2015-04-23,CHI,NSH,3,03:02,Bridgestone Arena,Colin Wilson,,
2015-04-24,MIN,STL,3,14:50,Scottrade Center,Charlie Coyle,,
2016-04-15,CHI,STL,3,19:58,Scottrade Center,Kevin Shattenkirk,,None
2016-04-15,NSH,ANA,2,07:55,Honda Center,Colin Wilson,,
2016-04-20,DAL,MIN,2,10:14,Xcel Energy Center,Charlie Coyle,,None
2016-04-22,SJS,LAK,2,04:05,STAPLES Center,Matt Nieto,,
