last,first,name,height,DOB,homeTown,year,season,city,state,country
Freeman,William,William Freeman,-,,,1936,1936-37,,,
Hardiman,William,William Hardiman,-,,,1936,1936-37,,,
Hauser,William,William Hauser,-,,,1936,1936-37,,,
Hoar,George,George Hoar,-,,,1936,1936-37,,,
Kelleher,Frederick,Frederick Kelleher,-,,,1936,1936-37,,,
Kelley,Robert,Robert Kelley,-,,,1936,1936-37,,,
Lynch,Russell,Russell Lynch,-,,,1936,1936-37,,,
Neviackas,Veto,Veto Neviackas,-,,,1936,1936-37,,,
O'Sullivan,Joseph,Joseph O'Sullivan,-,,,1936,1936-37,,,
Powell,Neil,Neil Powell,-,,,1936,1936-37,,,
Woodward,Albert,Albert Woodward,-,,,1936,1936-37,,,
Carvelli,Al,Al Carvelli,-,,,1937,1937-38,,,
Chandler,Carlton,Carlton Chandler,-,,,1937,1937-38,,,
Colburn,Robert,Robert Colburn,-,,,1937,1937-38,,,
Conaty,Joe,Joe Conaty,-,,,1937,1937-38,,,
Desrosiers,Gerry,Gerry Desrosiers,5-9,,,1937,1937-38,,,
Dewhurst,John,John Dewhurst,-,,,1937,1937-38,,,
Dow,Richard,Richard Dow,-,,,1937,1937-38,,,
Elliot,John,John Elliot,-,,,1937,1937-38,,,
Fagerland,John,John Fagerland,-,,,1937,1937-38,,,
Hoar,George,George Hoar,-,,,1937,1937-38,,,
Kelleher,Frederick,Frederick Kelleher,-,,,1937,1937-38,,,
McCaleb,Clifton,Clifton McCaleb,-,,,1937,1937-38,,,
Neviackas,Veto,Veto Neviackas,-,,,1937,1937-38,,,
O'Sullivan,Joseph,Joseph O'Sullivan,-,,,1937,1937-38,,,
Powell,Neil,Neil Powell,-,,,1937,1937-38,,,
Richardson,Ed,Ed Richardson,-,,,1937,1937-38,,,
Warshaw,Bernard,Bernard Warshaw,-,,,1937,1937-38,,,
Wilkens,Ray,Ray Wilkens,-,,,1937,1937-38,,,
Williams,Lytle,Lytle Williams,-,,,1937,1937-38,,,
Woodward,Albert,Albert Woodward,-,,,1937,1937-38,,,
Brown,Paul,Paul Brown,-,,,1938,1938-39,,,
Carvelli,Al,Al Carvelli,-,,,1938,1938-39,,,
Chambers,John,John Chambers,5-9,7/9/1917,"Needham, Massachusetts",1938,1938-39,Needham,Massachusetts,United States
Conaty,Joe,Joe Conaty,-,,,1938,1938-39,,,
Cummings,Whitley,Whitley Cummings,-,,,1938,1938-39,,,
Dow,Richard,Richard Dow,-,,,1938,1938-39,,,
Elliot,John,John Elliot,-,,,1938,1938-39,,,
Fagerland,John,John Fagerland,-,,,1938,1938-39,,,
Geary,John,John Geary,-,,,1938,1938-39,,,
Herrick,Jack,Jack Herrick,-,,,1938,1938-39,,,
Hiller,-,- Hiller,-,,,1938,1938-39,,,
Hines,Bud,Bud Hines,-,,,1938,1938-39,,,
Lacroix,Edouard,Edouard Lacroix,-,,,1938,1938-39,,,
McCaleb,Clifton,Clifton McCaleb,-,,,1938,1938-39,,,
